,AAPL,ADA,AMZN,BNB,BTC,ETH,GOOGL,MSFT,TSLA,XRP
,Daily Return,Daily Return,Daily Return,Daily Return,Daily Return,Daily Return,Daily Return,Daily Return,Daily Return,Daily Return
2018-04-21,,10.965724667586084,,114.70428101882447,5.64356096994978,6.475092318082319,,,,10.018792908153229
2018-04-22,,10.855497629176256,,123.91377018538385,5.895199236766695,6.584654756541162,,,,9.392290909825899
2018-04-23,,10.586852392388751,,119.83862224625959,5.8225477900931315,6.770511043951282,,,,9.360430240815221
2018-04-24,,10.713232019533866,,126.43770531617731,5.897166937870884,6.980742226735841,,,,9.42264758052056
2018-04-25,,11.670019197163176,,142.11049642791937,6.451664790446799,7.7339255238198685,,,,10.124462509556244
2018-04-26,,10.050987412095154,,124.40927301133509,5.859857794354507,6.732383928610431,,,,8.564139557260209
2018-04-27,,10.934411549423018,,135.91776423843064,6.123240257809461,7.207711749773761,,,,9.170357911237392
2018-04-28,,10.776668910711122,,132.51258905331704,5.936335398749472,7.042462474999467,,,,8.76173933484129
2018-04-29,,13.254557866042006,,140.2497139273069,6.1416935716538985,7.378171132738588,,,,9.271911272158366
2018-04-30,,13.523761615993504,,139.37064045357377,6.192136544134221,7.460702139872794,,,,9.37543722808973
2018-05-01,,12.709669063479394,,132.83279199043272,6.107517928743674,7.269964034240688,,,,8.995336630803529
2018-05-02,,13.274004725263222,,131.10287123128447,5.992114911781837,7.2973119907625295,,,,9.016412461236543
2018-05-03,,13.76269691560325,,132.8606148770622,6.057362351500116,7.42156308439256,,,,9.211277679609951
2018-05-04,,13.855274130906306,,144.0377606530295,6.341870790089664,8.571988393333143,,,,9.558048808899935
2018-05-05,,13.364775648171973,,132.74662950153822,6.397249685548488,8.533395605750574,,,,9.625305766502027
2018-05-06,,13.608059774356592,,133.2578291081379,6.484701497717961,8.853267899642308,,,,9.736731191231089
2018-05-07,,13.001556303673956,,129.60726283820094,6.36360758266217,8.620989534904117,,,,9.384966685838648
2018-05-08,,12.452185304845678,,127.60092248075806,6.180607114960289,8.214238277246896,,,,8.952654517542737
2018-05-09,,11.987844563686645,,124.90689023121219,6.075200358148423,8.165002904127208,,,,8.746758637496297
2018-05-10,,11.770910103702223,,135.66779181787837,6.141229355736182,8.157488565926572,,,,8.617831174531457
2018-05-11,,10.999879597106254,,127.81538353471393,5.955962486444658,7.869787490930321,,,,8.136310708924501
2018-05-12,,9.732823520296542,,120.59093896289343,5.581219193785587,7.407732390203253,,,,7.388983301049899
2018-05-13,,10.102341648064263,,120.89598478404059,5.631031697833471,7.494157156028511,,,,7.514438685606175
2018-05-14,,10.63775448061471,,122.31290610646612,5.766091399959869,7.973550062143948,,,,8.031851820286988
