,Crypto Data,Crypto Data,Crypto Data,Crypto Data,Crypto Data,Stock Data,Stock Data,Stock Data,Stock Data,Stock Data
,BTC,ETH,LTC,XRP,ADA,AAPL,MSFT,AMZN,TSLA,GOOGL
,close,close,close,close,close,close,close,close,close,close
2020-08-12 00:00:00.000,11398.671060896633,379.17476395275435,54.27410579203147,0.28398286725502375,0.13709153191550913,452.04,209.19,3162.24,1554.76,1507.24
2020-08-13 00:00:00.000,11579.867951602135,387.50053082397886,54.54470331354024,0.2823902059280601,0.13654137240996128,460.04,208.7,3161.02,1621.0,1516.65
2020-08-14 00:00:00.000,11817.164038803397,427.49026536796873,57.100321798050956,0.29433364365567655,0.13934430136552997,459.63,208.9,3148.02,1650.71,1504.63
2020-08-15 00:00:00.000,11777.391322489924,438.7625874702974,56.85779249013981,0.2995466202839251,0.13825948705473937,,,,,
2020-08-16 00:00:00.000,11864.905810156475,432.6546652389318,59.94634718861119,0.29931113568183204,0.13823721599011335,,,,,
2020-08-17 00:00:00.000,11901.776488302461,433.43186093211244,63.75157771852119,0.3032923477695733,0.13876880982976605,458.43,210.28,3182.41,1835.64,1516.24
2020-08-18 00:00:00.000,12272.465808160425,430.03250508972275,67.14423287720139,0.3146297531934636,0.14066093296166526,462.25,211.49,3312.49,1887.09,1555.78
2020-08-19 00:00:00.000,11949.610970628193,422.10665286599425,65.43571062296172,0.3029762978947723,0.13702646573422966,462.83,209.7,3260.48,1878.53,1544.61
2020-08-20 00:00:00.000,11733.278970862082,406.5744691821068,61.984558909579945,0.29012669674711095,0.12943229880582274,473.1,214.58,3297.37,2001.83,1576.25
2020-08-21 00:00:00.000,11861.83657727968,416.46977582279794,62.87917513877963,0.29225257818676637,0.1342025581766098,497.48,213.02,3284.72,2049.98,1575.57
2020-08-22 00:00:00.000,11515.124298729217,386.8238914189483,59.11248314238979,0.2791806305823162,0.12261719847765214,,,,,
2020-08-23 00:00:00.000,11676.385305081287,395.88501828908585,60.32046983706104,0.2854389359353903,0.12531555685950455,,,,,
2020-08-24 00:00:00.000,11647.928120934363,390.7891350477376,60.53938150614906,0.2851067954158283,0.12160888158106746,503.43,213.69,3307.46,2014.2,1585.15
2020-08-25 00:00:00.000,11758.828120368864,408.2691456317229,62.249707561005,0.2889889462508965,0.12369254695958502,499.3,216.47,3346.49,2023.34,1605.85
2020-08-26 00:00:00.000,11350.753473213,383.66214311829924,58.506080464577614,0.277714277220598,0.11263109834364941,506.09,221.15,3441.85,2153.17,1644.13
2020-08-27 00:00:00.000,11465.002564032086,385.75249987492117,58.21122706804445,0.27651090847081833,0.1144606140436145,500.04,226.58,3400.0,2238.75,1628.52
2020-08-28 00:00:00.000,11300.398363810944,381.8376513210842,55.95802895016378,0.2643129566362412,0.10683596306265304,499.23,228.91,3401.8,2213.4,1639.43
2020-08-29 00:00:00.000,11519.118388160729,395.1382132386204,57.19184434175808,0.2713516293652327,0.10921266508420925,,,,,
2020-08-30 00:00:00.000,11481.481823317012,399.374543834064,57.07559991344331,0.2743044410353674,0.1166042236595269,,,,,
2020-08-31 00:00:00.000,11701.004008657852,428.2956791635218,62.738515898173894,0.28231066481099576,0.11720776600238383,129.04,225.53,3450.96,498.32,1629.53
2020-09-01 00:00:00.000,11672.324104943627,435.6930232991007,60.95552510433979,0.2824332033877913,0.12213967054745463,134.18,227.27,3499.12,475.05,1655.08
