date,BTC,ETH,LTC,XRP,ADA,AAPL,MSFT,AMZN,TSLA,GOOGL
00:00.0,6368.651641,303.542117,54.94787261,0.200793,0.030251095,169.04,83.18,1105.28,331.53,1033.04
00:00.0,6714.788987,292.3305387,53.18318697,0.194131,0.023096036,166.89,83.18,1103.68,321.08,1042.595
00:00.0,7059.793861,287.0696687,54.84768764,0.205095,0.021320577,168.11,84.05,1094.22,299.26,1042.97
00:00.0,7234.738382,305.8432727,56.20849969,0.208601,0.022789426,172.5,84.14,1111.6,306.09,1049.99
00:00.0,7390.535227,299.9549104,55.03892515,0.204145,0.021802079,,,,,
00:00.0,7416.267951,297.5173231,54.95874528,0.202402,0.022026316,,,,,
00:00.0,7103.046081,301.3707946,55.47516883,0.206486,0.022303565,174.25,84.47,1120.66,302.78,1042.68
00:00.0,7166.741372,295.2351134,61.47069102,0.209832,0.022288566,174.81,84.27,1123.17,306.05,1052.39
00:00.0,7461.824435,308.9339866,62.51797398,0.216912,0.025146348,176.24,84.56,1132.88,304.39,1058.29
00:00.0,7186.292775,322.3295205,64.53757665,0.217419,0.032769495,175.88,84.09,1129.13,302.99,1047.72
00:00.0,6656.839694,301.3549334,59.37131834,0.206187,0.027293043,174.67,83.87,1125.35,302.99,1044.15
00:00.0,6365.397852,316.258342,62.61217035,0.210117,0.027498519,,,,,
00:00.0,5866.513129,314.1661277,58.91611215,0.196401,0.024521651,,,,,
00:00.0,6423.091402,315.3439564,61.16304184,0.203654,0.025114287,173.97,83.93,1129.17,315.4,1041.2
00:00.0,6652.21678,338.9376274,63.33799073,0.20995,0.026228305,171.34,84.05,1136.84,308.7,1041.64
00:00.0,7297.668836,334.2869325,63.88631542,0.212758,0.026014553,169.08,82.98,1126.69,311.3,1036.41
00:00.0,7814.944404,330.0213156,71.42738558,0.223418,0.027106272,171.1,83.2,1137.29,312.5,1048.47
00:00.0,7783.542465,333.351255,67.90577248,0.227181,0.025916753,170.15,82.4,1129.88,315.05,1035.89
00:00.0,7827.631469,348.7472155,69.80076052,0.228036,0.02652772,,,,,
00:00.0,8011.14743,353.4357296,71.45132808,0.230733,0.027721211,,,,,
00:00.0,8220.509966,365.786816,72.26766674,0.239804,0.030002736,169.98,82.53,1126.31,308.74,1034.66
00:00.0,8114.13368,361.0558226,70.02211801,0.232854,0.028598216,173.14,83.72,1139.49,317.81,1050.3
00:00.0,8257.123895,379.4090573,71.97782484,0.238634,0.028731549,174.96,83.11,1156.16,312.6,1051.92
00:00.0,8117.664348,412.5576115,73.96571644,0.245077,0.027940667,,,,,
00:00.0,8278.128436,475.002015,77.81584401,0.24466,0.028511937,174.97,83.26,1186,315.55,1056.52
00:00.0,8743.159378,467.44639,89.49232212,0.253218,0.030614788,,,,,
00:00.0,9342.988641,468.9980994,86.68395636,0.249117,0.038547874,,,,,
