date,BTC,ETH,BNB,XRP,ADA
16/12/2017,19665.39493,702.2446128,4.683667287,0.762863,0.408204448
17/12/2017,19423.58015,728.7004712,5.96773445,0.729334,0.475589483
18/12/2017,19188.05396,798.115404,5.642974685,0.776894,0.506894865
19/12/2017,18174.18676,829.9892018,5.942776265,0.792545,0.547831246
20/12/2017,17059.88835,813.4036023,5.342390247,0.774137,0.492296744
21/12/2017,16355.23823,812.8851591,5.452619794,1.15914,0.497934078
22/12/2017,14084.82493,669.2764923,4.527646434,1.10586,0.414617119
23/12/2017,15241.91647,715.7190683,5.12317508,1.17695,0.43637378
24/12/2017,14451.11455,686.2083089,5.538086083,1.0328,0.406643145
25/12/2017,14302.75371,733.9025459,6.747234213,1.12038,0.424664377
26/12/2017,16616.68206,774.1101981,9.501865024,1.18401,0.44975688
27/12/2017,16373.08108,764.967062,10.47500919,1.40645,0.430559657
28/12/2017,15067.8995,736.840047,9.852713346,1.43294,0.429505402
29/12/2017,15096.55944,755.3436413,9.124610609,2.20813,0.545309044
30/12/2017,13620.36187,736.9091915,8.356355155,2.17644,0.678579291
31/12/2017,14839.59079,774.6962555,9.208930333,2.28004,0.767634604
1/01/2018,14093.60683,776.0803304,8.828098651,2.31012,0.747140424
2/01/2018,15321.93285,876.8902588,9.090393224,2.45529,0.807430251
3/01/2018,15583.88554,963.0557507,9.886323101,3.12571,1.075401101
4/01/2018,15976.36519,978.4161042,9.675757667,3.22005,1.179347015
5/01/2018,18336.92298,1004.894972,16.48852321,2.93138,1.077821184
6/01/2018,18343.66249,1052.02336,24.36990481,3.09163,1.093780172
7/01/2018,17039.87391,1137.654919,19.34260918,3.39845,1.052853681
8/01/2018,15900.36502,1184.92393,19.21316046,2.4485,0.941899932
9/01/2018,15604.72341,1361.439668,18.97882216,2.14126,0.86620154
10/01/2018,15509.27013,1345.587602,18.07411299,1.95614,0.816441706
11/01/2018,14050.56961,1181.65141,22.11006761,1.93361,0.727461729
12/01/2018,14759.29463,1315.618758,23.91492178,2.02577,0.962328642
13/01/2018,15193.3149,1448.180086,23.56498431,2.0225,0.937907186
14/01/2018,14476.58897,1410.000215,21.99391023,1.86561,0.841889527
15/01/2018,14411.99771,1329.671397,20.77641063,1.66706,0.822404074
16/01/2018,11723.91352,1068.600411,14.27178999,1.19515,0.638217739
17/01/2018,11415.39284,1022.365213,14.58879916,1.29116,0.649567161
18/01/2018,11569.42499,1036.072313,14.77328995,1.61161,0.671356127
19/01/2018,11758.46933,1046.898597,15.37896613,1.54157,0.665751451
20/01/2018,13260.27119,1172.917206,16.82245257,1.58205,0.734000935
